word,DELMET,wordcat,word_1,label_1
And,0,CJ,ultimate,1
there,0,EX,defence,0
is,0,V,money,0
always,0,AV,backers,0
the,0,AT,formed,0
ultimate,0,AJ,procession,0
unbundler,0,N,coffin,0
defence,1,N,mountains,0
that,0,CJ,capital,0
he,0,PN,reburial,0
will,0,V,monastery,0
make,1,V,transferred,0
money,0,N,abstraction,0
for,0,PR,music,0
his,0,DP,life,0
backers,0,N,sitter,0
Then,0,AV,drawing,0
they,0,PN,technique,0
formed,0,V,painter,0
a,0,AT,employ,0
slow,0,AJ,portraits,0
procession,0,N,combination,0
behind,0,PR,habit,0
the,0,AT,response,0
coffin,0,N,subject,0
into,0,PR,cases,0
the,0,AT,quangos,0
mountains,0,N,merge,0
to,0,PR,existing,0
the,0,AT,ones,0
old,0,AJ,replace,0
royal,0,AJ,bodies,0
capital,0,N,success,0
of,0,PR,relationship,0
Cetinje,0,N,lot,0
for,0,PR,marriage,0
his,0,DP,themselves,0
reburial,0,N,author,0
in,0,PR,illustrator,0
the,0,AT,separate,0
monastery,0,N,roles,0
there,0,AV,partnership,0
Just+as+so,0,AV + CJ + AV,book-makers,0
Thomson,0,N,contributing,0
transferred,1,V,process,0
Stein,0,N,holding,0
literary,0,AJ,meetings,0
abstraction,0,N,children,0
to,1,PR,having,0
music,0,N,telecottage,0
life,2,N,store,0
from,2,PR,people,0
sitter,2,N,life,0
drawing,2,V,entrepreneurs,0
technique,2,N,spouses,0
painter,2,N,shop+assistants,0
employ,2,V,craftspeople,0
portraits,2,N,children,0
these,2,DT,chants,0
unusually,0,AV,humiliation,0
the,0,AT,side,0
of,0,PR,start,0
the,0,AT,season,0
an,0,AT,going-over,0
ideal,0,AJ,players,0
combination,0,N,secretary,0
of,0,PR,workers,0
Thomson,0,N,union,0
habit,1,N,vote,0
of,0,PR,defence,0
immediate,1,AJ,policy,0
response,1,N,majority,0
with,1,PR,right-wingers,0
an,0,AT,warned,0
actual,0,AJ,leaders,0
subject,1,N,expect,0
In,1,PR,everybody,0
some,0,DT,goose-step,0
cases,0,N,direction,0
Labour,0,N,policy,0
quangos,0,N,Clocks,0
merge,1,V,instruments,0
existing,0,AJ,sell,0
ones,0,N,house,0
or,0,CJ,cottage,0
replace,1,V,centre,0
well-established,0,AJ,town,0
bodies,1,N,cottage,0
The,0,AT,price,0
success,0,N,lots,0
of,0,PR,sale,0
the,0,AT,auction,0
Ahlbergs,0,N,Property,0
working,0,N,Services,0
relationship,0,N,hundred,0
must,0,V,subsidiary,0
have,0,V,auctioning,0
a,0,AT,venues,0
lot,0,N,period,0
to,0,TO,auction,0
do,0,V,buyers,0
with,1,PR,commit,0
their,0,DP,difficulty,0
long,1,AJ,buyers,0
and,0,CJ,proceed,0
happy,1,AJ,far,0
marriage,0,N,between,0
They,0,PN,director,0
see,1,V,estate+agents,0
themselves,0,PN,misunderstood,0
not,0,XX,Records,0
as,0,CJ,play,0
author,0,N,music,0
and,0,CJ,way,0
illustrator,0,N,account,0
with,1,PR,interrogated,0
separate,1,AJ,bombings,0
roles,1,N,scalp,0
but,0,CJ,crawl,0
as,0,PR,Government,0
a,0,AT,compounds,0
partnership,0,N,problems,0
of,0,PR,parameters,0
book-makers,0,N,reflect,0
contributing,0,V,value,0
equally,0,AV,country,0
to,1,PR,system,0
the,0,AT,shift,0
process,0,N,people,0
By,0,PR,destinations,0
holding,1,V,speed,0
open,1,AJ,safety,0
meetings,0,N,demonstrates,0
for,0,PR,describes,0
children,0,N,pitfalls,0
and,0,CJ,avoid,0
having,0,V,Copse,0
the,0,AT,robbers,0
telecottage,0,N,woodland,0
above,0,PR,usurped,0
the,0,AT,cattle,0
local,0,AJ,thieves,0
store,0,N,Hills,0
people,0,N,nothing,0
of,0,PR,Maj,0
all,0,DT,villagers,0
walks,1,N,recipients,0
of,0,PR,dollars,0
life,0,N,cameras,0
came+in,0,V + AV,needed,0
small-scale,0,AJ,clinic,0
entrepreneurs,0,N,collaborated,0
and,0,CJ,directly,1
their,0,DP,result,0
spouses,0,N,historical,1
shop+assistants,0,N + N,significance,0
craftspeople,0,N,effort,0
and,0,CJ,Department,0
children,0,N,Economic,0
As+if,0,CJ,Affairs,0
24-17,0,CR,set+up,1
and,0,CJ,Harold,0
derisive,0,AJ,Wilson,0
chants,1,N,headed,0
of,0,PR,George,0
Easy,0,AJ,Brown,0
easy,0,AJ,ended,0
were,0,V,futile,1
not,0,XX,departmental,0
bad,0,AJ,ministerial,0
enough,0,AV,infighting,0
this,1,DT,DTI,0
humiliation,0,N,override,1
was,0,V,Treasury,0
against,1,PR,new,0
a,0,AT,powerful,1
side,1,N,Department,0
who,0,PN,Consumer,0
have,0,V,Affairs,0
made,1,V,antagonise,1
a,0,AT,DTI,0
wretched,1,AJ,Labour,0
start,0,N,acquiescing,1
to,1,PR,democratic,1
the,0,AT,outrage,1
season,0,N,continued,0
a,0,AT,arguing,0
week,0,N,Conservatives,0
earlier,0,AV,got,0
Pontypool,0,N,away,1
had,0,V,undemocratic,1
going-over,2,N,long,0
given,2,V,Labour,0
them,0,PN,turn,0
a,0,AT,telecottages,0
6?-35,0,CR,become,0
and,0,CJ,self-financing,1
were,0,V,established,0
short,1,AJ,need,0
of,0,PR,initial,0
at+least,0,AV,subsidy,0
half-a-dozen,0,CR,Villages,0
first-choice,0,AJ,expensive,0
players,0,N,live,0
Ron,0,N,vibrant,1
Todd,0,N,communities,0
the,0,AT,local,0
general,0,AJ,people,0
secretary,0,N,earn,0
of,0,PR,enough,0
the,0,AT,continue,0
transport,0,N,living,0
workers,0,N,Smith,0
union,0,N,said,0
said,0,V,interview,0
that,0,CJ,BBC,0
today,0,AV,television,0
vote,0,N,Record,0
on,1,PR,expect,0
the,0,AT,colleagues,0
multilaterist,0,N,spend,0
nuclear,0,AJ,spend,0
defence,0,N,Doctors,0
policy,0,N,worried,0
would,0,V,women,0
not,0,XX,turning,0
yield,1,V,prostitution,0
the,0,AT,finance,1
massive,1,AJ,habit,0
and,0,CJ,risk,0
overwhelming,0,AJ,contracting,0
majority,0,N,Aids,0
predicted,0,V,drink,0
by,0,PR,thirsty,0
right-wingers,1,N,Globe,0
and,0,CJ,artichokes,0
he,0,PN,sprouting,0
warned,0,V,leaves,0
that,0,CJ,need,0
party,0,N,protection,1
leaders,0,N,frost,0
could,0,V,cold,0
not,0,XX,areas,0
expect,0,V,trying,0
everybody,0,PN,smooth,1
to,0,PR,path,0
goose-step,2,N,purchasers,0
in,1,PR,streamline,1
the,0,AT,system,0
same,0,DT,says,0
direction,1,N,Graham,0
once,0,CJ,Harrison,0
the,0,AT,pointing+out,0
policy,0,N,live,0
had,0,V,telephone,0
been,0,V,bidding,0
carried,1,V,available,0
Glasgow,0,N,unable,0
Clocks,0,N,attend,0
and,0,CJ,collective,0
scientific,0,AJ,property,0
instruments,0,N,auctions,0
Wednesday,0,N,place,0
11am,0,AV,regularly,0
First,0,OR,London,0
they,0,PN,often,0
have,0,V,primarily,0
to,0,TO,investors,0
sell,0,V,house-hunters,0
their,0,DP,country,0
present,0,AJ,areas,0
house,0,N,typical,0
a,0,AT,auction,0
two-bedroom,0,AJ,one,0
cottage,0,N,house,0
in,0,PR,likely,0
the,0,AT,not,0
centre,1,N,place,0
of,0,PR,nearby,0
the,0,AT,pub,0
town,0,N,village,0
Their,0,DP,hall,0
South,0,N,supertram,0
Molton,0,N,concept,0
cottage,0,N,spread,0
guide,1,V,major,0
price,0,N,cities,0
"£44,000-£46,000",0,N,decade,0
is,0,V,Blackpool,0
one,0,CR,alone,0
of,0,PR,use,0
more+than,0,AV,traditional,0
20,0,CR,double-deckers,0
lots,0,PN,Armstrong,0
to,0,TO,seems,0
be,0,V,least,0
put+up,1,V + AV,permanently,1
for,0,PR,damaged,0
sale,0,N,surface,0
at,1,PR,strain,0
the,0,AT,start,0
Barnstaple,0,N,technically,0
auction,0,N,ill-equipped,1
by,0,PR,avert,1
Bristol,0,N,disaster,0
and,0,CJ,cope,0
West,0,N,consequences,0
Property,0,N,disaster,0
Services,0,N,struck,0
and,0,CJ,strain,0
one,0,CR,commercial,0
of,0,PR,pressures,0
more+than,0,AV,inquiry,0
a,0,AT,puts,0
hundred,0,CR,compromised,1
which,0,DT,safety,0
the,0,AT,strain,0
building+society,0,N + N,people,0
subsidiary,0,N,spot,0
will,0,V,cope,0
be,0,V,weary,1
auctioning,0,V,gruesome,0
in,0,PR,working,0
eight,0,CR,hours,0
West+Country,0,N + N,senior,0
venues,0,N,signal,0
over,1,PR,technician,0
a,0,AT,heads,0
three-day,0,AJ,list,0
period,0,N,culpable,0
With,1,PR,one,0
an,0,AT,day,0
auction,0,N,past,0
you,0,PN,weeks,0
've,0,V,lacked,0
got,0,V,adequate,0
to,0,TO,training,0
be,0,V,bothered,0
certain,0,AJ,refusing,0
that,0,CJ,keep,0
at+least,0,AV,open,0
two,0,CR,two-way,0
buyers,0,N,radio,0
are,0,V,links,0
there,0,AV,crews,0
who,0,PN,effectively,1
can,0,V,ended,0
commit,1,V,proper,0
themselves,0,PN,emergency+service,0
and,0,CJ,law,0
the,0,AT,doubt,0
difficulty,0,N,Mrs,0
is,0,V,Bujok,0
that,0,CJ,entitled,0
buyers,0,N,commence,0
who,0,PN,proceedings,0
can,0,V,giving,0
proceed,1,V,notice,0
are,0,V,state,0
few,0,DT,dwelling,0
and,0,CJ,council,0
far,1,AV,took,0
between,1,AV,chin,1
said,0,V,meantime,0
David,0,N,capacity,0
Phillip,0,N,bring,0
a,0,AT,coherence,1
director,0,N,organisation,0
of,0,PR,range,0
Yorkshire,0,N,activities,0
estate+agents,0,N + N,further,0
Dacre,0,N,consolidating,1
Son,0,N,institutional,0
and,0,CJ,linkage,0
Hartley,0,N,people,0
Misunderstood,1,V,occupied,0
by,0,PR,state,0
Decca,0,N,PLO,0
Records,0,N,leadership,0
he,0,PN,age,0
maintains,1,V,structure,0
I,0,PN,Meadowell,0
wan,0,V,awash,1
na,0,TO,teenagers,0
play,0,V,pastimes,0
ma,0,N,having,0
music,0,N,babies,0
ma,0,N,body-building,0
way,1,N,Like,0
But,0,CJ,heckler,0
it,0,PN,Liberal,0
was,0,V,One,1
Gerry,0,N,daughter,0
Conlon,0,N,grand,0
account,0,N,duchess,0
of,0,PR,Russia,0
being,0,V,gained,0
interrogated,0,V,footnote,0
after,1,PR,history,0
the,0,AT,introducing,0
Guildford,0,N,unknown,0
bombings,0,N,monk,0
that,0,CJ,Rasputin,0
made,1,V,Russian,0
the,0,AT,Tsarina,0
scalp,0,N,Alexandra,0
crawl,1,N,He,0
Government,0,N,started,0
compounds,1,V,writing,0
all,0,DT,occasional,0
these,1,DT,articles,0
problems,0,N,wrote,0
when,0,CJ,State,0
it,0,PN,Music,0
sets+down,1,V + AV,trenchant,1
working,0,V,provocative,0
parameters,0,N,assessment,0
which,0,DT,machinery,1
fail,1,V,musical,0
to,0,TO,profession,0
reflect,1,V,time,0
the,0,AT,Powerhaus,0
value,1,N,N1,0
the,0,AT,837,0
country,0,N,3218,0
gets,1,V,8.30pm,0
from,1,PR,£5,0
a,0,AT,Mr,0
system,1,N,Dobbs,0
that,0,CJ,unlikely,1
is,0,V,allies,0
run,1,V,Women,0
efficiently,0,AV,Institutes,0
can,0,V,Very,0
shift,1,V,kind,0
people,0,N,international,0
to,0,PR,players,0
destinations,0,N,supposed,0
with,1,PR,habitually,0
exemplary,0,AJ,influential,0
speed,0,N,Hazard,0
and,0,CJ,second,0
safety,0,N,half,0
as,0,CJ,incisive,0
Europe,0,N,passes,0
consistently,0,AV,gifts,1
demonstrates,1,V,heavens,1
Francesca,0,N,day,0
Simon,0,N,left,0
describes,0,V,greater,0
some,0,DT,mark,0
of,1,PR,In,0
the,0,AT,statement,0
pitfalls,0,N,afterwards,0
and,0,CJ,Dr,0
how,0,AV,Runcie,0
to,0,TO,stressed,0
avoid,1,V,proposing,0
them,0,PN,change,0
Travel,0,V,British,0
Copse,0,N,constitution,0
and,0,CJ,By,0
robbers,0,N,NICHOLAS,0
Christopher,0,N,ROE,0
Somerville,0,N,Runner+beans,0
sees,0,V,French,0
how,0,AV,beans,0
woodland,0,N,given+up,1
has,0,V,completely,0
usurped,2,V,cleared,0
the,0,AT,vegetable,0
ancient,0,AJ,plots,0
cattle,0,N,The,0
thieves,0,N,irony,0
of,1,PR,tower,0
the,0,AT,higher,0
Cheviot,0,N,teak,0
Hills,0,N,scrubbers,0
Probably,0,AV,efficient,0
nothing,0,PN,smoke,0
at+all,0,AV,gone,0
Con,0,AJ,straight,0
Maj,0,N,air,0
2.583,0,CR,At,0
The,0,AT,press+conference,0
villagers,0,N,mark,0
of,0,PR,election,0
Ramsala,0,N,victory,0
recipients,0,N,year,0
of,0,PR,Mr,0
the,0,AT,Bush,0
Palm,0,N,threatened,0
Beach,0,N,veto,0
dollars,0,N,budget,0
explained,1,V,unless,0
to,1,PR,contained,0
the,0,AT,real,0
cameras,0,N,cuts,0
that,0,CJ,Now,0
they,0,PN,would,0
desperately,0,AV,great,0
needed,0,V,leap,1
a,0,AT,forward,0
clinic,0,N,In,0
When,0,CJ,1949,0
he,0,PN,Amaldi,0
collaborated,0,V,wrote,0
directly,1,AV,Italian,0
with,0,PR,prime,0
her,0,PN,minister,0
in,1,PR,asking,0
opera,0,N,permission,0
the,0,AT,produce,0
result,0,N,sell,0
was,0,V,sealing+wax,0
of,0,PR,letters,0
historical,1,AJ,so+that,0
significance,0,N,raise,0
But,0,CJ,needed,0
its,0,DP,funds,0
last,0,OR,physics,0
effort,0,N,lab,0
the,0,AT,Such,0
Department,0,N,agreements,0
of,0,PR,range,0
Economic,0,AJ,issue,0
Affairs,0,N,borders,0
set+up,1,V + AV,issue,0
by,0,PR,free,0
Harold,0,N,wave-lengths,0
Wilson,0,N,future,0
and,0,CJ,television,0
headed,1,V,radio,0
by,0,PR,networks,0
George,0,N,By,0
Brown,0,N,Daniel,0
ended,0,V,John,0
in,1,PR,His,0
futile,0,AJ,wife,0
departmental,0,AJ,telling,0
and,0,CJ,saddle+up,1
ministerial,0,AJ,steal,0
infighting,0,N,fresh,0
But,0,CJ,batch,0
while,0,CJ,cattle,0
the,0,AT,neighbour,0
DTI,0,N,herds,0
would,0,V,Group,0
override,1,V,4,0
the,0,AT,Remand,0
Treasury,0,N,Services,0
a,0,AT,Ltd,0
new,0,AJ,security,0
powerful,1,AJ,firm,0
Department,0,N,selected,0
of,0,PR,Home+Office,0
Consumer,0,N,manage,0
Affairs,0,N,The,0
would,0,V,Wolds,0
antagonise,1,V,£5,0
the,0,AT,million-a-year,0
DTI,0,N,contract,0
Labour,0,N,likes,0
would,0,V,think,0
be,0,V,prisoners,0
acquiescing,1,V,customers,0
in,1,PR,Tory,0
a,0,AT,ministers,0
democratic,0,AJ,like,0
outrage,0,N,Michael,0
if,0,CJ,Heseltine,0
it,0,PN,visited,0
continued,0,V,Meadowell,0
arguing,1,V,last,0
that,0,CJ,November,0
because,0,CJ,say,0
the,0,AT,cash,0
Conservatives,0,N,shortages,0
had,0,V,due+to,1
got,1,V,council,0
away,0,AV,profligacy,0
with,0,PR,bad,0
being,0,V,management,0
undemocratic,0,AJ,Under,0
for,0,PR,pressure,0
so,0,AV,Satra,0
long,1,AV,Kirov,0
it,0,PN,told,0
was,0,V,singers,0
now,0,AV,choose,0
Labour,0,N,companies,0
turn,1,N,But,0
While,0,CJ,desire,0
telecottages,0,N,provide,0
should,0,V,period,0
become,0,V,stability,0
self-financing,0,AJ,nearly,0
once,0,AV,one,0
established,0,V,million,0
they,0,PN,people,0
do,0,V,employed,0
need,0,V,NHS,0
initial,0,AJ,coupled,0
subsidy,0,N,fierce,1
Villages,0,N,determination,0
are,0,V,maintain,0
expensive,0,AJ,momentum,1
to,0,TO,reform,0
live,0,V,overwhelming,0
in,0,AV,majority,0
and,0,CJ,hospitals,0
if,0,CJ,becoming,0
they,0,PN,self-governing,0
are,0,V,trusts,0
to,0,TO,mid-1990s,0
become,0,V,As+well+as,0
vibrant,0,AJ,fighting,0
communities,0,N,money,0
again,0,AV,task,0
local,0,AJ,ensure,0
people,0,N,every,0
must,0,V,last,0
be,0,V,pound,0
able,0,AJ,spent,0
to,0,TO,effectively,0
earn,0,V,could,0
enough,0,DT,Letter Policy,1
to,0,TO,politics,1
be,0,V,Labour+Party,1
able,0,AJ,Conference,0
to,0,TO,letter,0
continue,0,V,dropped,0
living,0,V,post,0
in,0,PR,President,0
them,0,PN,Socialist,1
Mr,0,N,Republic,1
Smith,0,N,Montenegro,0
said,0,V,inviting,0
in,1,PR,funeral,0
an,0,AT,said,0
interview,0,N,John,0
on,1,PR,Kennedy,0
BBC,0,N,Conservative+Party,1
television,0,N,member,0
's,0,V,lives,0
On,1,PR,Barking,0
the,0,AT,distant,0
Record,0,N,relative,0
that,0,CJ,Nicholas,0
he,0,PN,Another,0
did,0,V,response,0
not,0,XX,visual,1
expect,0,V,stimulus,0
his,0,DP,Thomson,0
colleagues,0,N,series,0
to,0,TO,musical,1
spend,0,V,portraits,0
and,0,CJ,people,0
spend,0,V,such+as,0
again',0,V,Picasso,0
when,0,CJ,Aaron,0
they,0,PN,Copland,0
took,1,V,But,0
office,0,N,villages,0
Doctors,0,N,dying,0
are,0,V,becoming,1
worried,0,AJ,suburbs,0
that,0,CJ,dormitories,0
women,0,N,people,0
turning,1,V,work,0
to,1,PR,sleep,0
prostitution,0,N,It,0
to,0,TO,takes,0
finance,0,V,sorts,0
the,0,AT,phrase,0
habit,1,N,universal,1
are,0,V,primacy,0
at,1,PR,spiritual,1
risk,0,N,meaning,0
of,0,PR,In,0
contracting,0,AJ,Liverpool,0
Aids,0,N,dockers,0
We,0,PN,spokesman,0
do,0,V,Transport,0
not,0,XX,General,0
drink,0,V,Workers,0
because,0,CJ,Union,0
we,0,PN,admitted,0
are,0,V,Drivers,0
thirsty,0,AJ,n't,0
Globe,0,N,happy,0
artichokes,0,N,handling,0
are,0,V,commodities,0
sprouting,0,V,but,0
new,0,AJ,at+least,0
leaves,0,N,lorry-driver,0
and,0,CJ,idea,0
may,0,V,handling,0
need,0,V,docker,0
protection,0,N,consignment,0
from,1,PR,just,0
frost,0,N,not,0
in,0,PR,know,0
cold,0,AJ,Dr,0
areas,0,N,Slevin,0
We,0,PN,agreed,0
're,0,V,often,0
trying,0,V,beneficial,0
to,0,TO,but,0
smooth,1,V,concerned,0
the,0,AT,other,0
path,1,N,aspects,0
for,0,PR,therapies,0
purchasers,0,N,By,0
and,0,CJ,STEPHEN,0
streamline,1,V,GOLD,0
the,0,AT,If,0
system,1,N,Dedham,0
says,0,V,Hall,0
Graham,0,N,fully,0
Harrison,0,N,booked,0
pointing+out,1,V + AV,may,0
that,0,CJ,well,0
live,1,AJ,try,0
telephone,0,N,best,0
bidding,0,N,bed-and-breakfast,0
will,0,V,ever,0
also,0,AV,found,0
be,0,V,just,0
available,0,AJ,few,0
for,0,PR,miles,0
those,1,DT,away,0
unable,0,AJ,Old,0
to,0,TO,Vicarage,0
attend,0,V,Higham,0
Although,0,CJ,near,0
collective,0,AJ,Colchester,0
property,0,N,loveliest,0
auctions,0,N,mind,0
take,1,V,Melford,0
place,1,N,Hall,0
regularly,0,AV,charming,0
in,0,PR,octagonal,0
London,0,N,Jacobean,1
often,0,AV,gatehouse,0
primarily,0,AV,reached,0
for,0,PR,along,0
investors,0,N,avenue,0
rather+than,0,PR,clipped,0
house-hunters,1,N,yew,0
in,0,PR,trees,0
country,0,N,high,0
areas,0,N,windows,0
the,0,AT,flooding,0
more,0,AV,octagon,0
typical,0,AJ,light,0
auction,0,N,fantasy,0
will,0,V,ideal,0
be,0,V,study,0
just,0,AV,And,0
for,0,PR,told,0
one,0,CR,without,0
house,0,N,on-screen,0
and,0,CJ,questioning,0
as,0,AV,though,0
likely,0,AJ,programme,0
as,0,CJ,skilfully,0
not,0,XX,structured,0
will,0,V,give,0
take,1,V,coherence,0
place,1,N,might,0
in,0,PR,lacked,0
a,0,AT,From,0
nearby,0,AJ,resulting,0
pub,0,N,corner,0
or,0,CJ,Rhodes,0
village,0,N,made,0
hall,0,N,another,0
And,0,CJ,fine,0
although,0,CJ,save,0
the,0,AT,hurtling,0
supertram,0,N,right,0
concept,0,N,deflect,0
will,0,V,away,0
spread,1,V,Dixon,0
through,0,PR,rising,0
major,0,AJ,shot,0
cities,0,N,We,0
during,0,PR,trained,0
the,0,AT,artificial,1
next,1,OR,pitch,0
decade,0,N,two,0
Blackpool,0,N,days,0
will,0,V,week,0
still,0,AV,should,0
be,0,V,done,0
alone,0,AJ,a+lot,0
in,1,PR,better,0
its,0,DP,user,0
use,1,N,tells,0
of,0,PR,analyst,0
traditional,0,AJ,problems,0
double-deckers,0,N,analyst,0
Armstrong,0,N,decides,0
seems,0,V,at+least,0
the,0,AT,broad,0
least,0,AV,terms,0
permanently,0,AV,user,0
damaged,1,V,requires,0
on,1,PR,Second,0
the,0,AT,would,0
surface,1,N,consolidate,0
Under,1,PR,image,0
strain,1,N,essence,1
for,0,PR,Intifada,0
a,0,AT,constructive,0
start,1,N,not,0
because,0,CJ,destructive,0
it,0,PN,force,0
was,0,V,Entire,0
technically,0,AV,departments,0
ill-equipped,1,AJ,set+up,0
to,0,TO,health,0
avert,1,V,foreign,1
disaster,0,N,affairs,0
or,0,CJ,agriculture,0
to,0,TO,trade,0
cope,1,V,finance,0
with,1,PR,education,0
the,0,AT,justice,0
consequences,0,N,religion,0
when,0,CJ,information,0
disaster,0,N,social,0
struck,1,V,welfare,0
